ts_utc,dex,symbol,funding_1h,apr_pct,mark,oi_usd,day_vlm_usd
2026-07-30T01:24:22Z,para,para:TER,0.0002652944,232.398,334.06,10864,381285
2026-07-30T01:24:22Z,mkts,mkts:US500,0.0000057078,5.0,732.81,1010442,2243040
2026-07-30T01:24:22Z,mkts,mkts:USTECH,0.0000057078,5.0,668.74,1905789,5395756
2026-07-31T19:17:08Z,xyz,xyz:XYZ100,-0.0000218490,-19.14,28311.0,219014960,544955574
2026-07-31T19:17:08Z,xyz,xyz:TSLA,0.0000062500,5.475,310.0,34578494,82885188
2026-07-31T19:17:08Z,xyz,xyz:NVDA,0.0000062500,5.475,200.06,155406914,72746203
2026-07-31T19:17:08Z,xyz,xyz:GOLD,0.0000243443,21.326,4050.2,189627318,57669024
2026-07-31T19:17:08Z,xyz,xyz:HOOD,0.0000119857,10.499,88.44,17583323,7899080
2026-07-31T19:17:08Z,xyz,xyz:INTC,0.0000079161,6.935,92.328,40505876,56074180
2026-07-31T19:17:08Z,xyz,xyz:PLTR,0.0000131384,11.509,122.84,5217286,5941101
2026-07-31T19:17:08Z,xyz,xyz:COIN,0.0000062580,5.482,150.77,12208150,21885326
2026-07-31T19:17:08Z,xyz,xyz:META,0.0000259238,22.709,552.87,63650074,37068967
2026-07-31T19:17:08Z,xyz,xyz:AAPL,0.0000062500,5.475,305.58,58165230,182413832
2026-07-31T19:17:08Z,xyz,xyz:MSFT,-0.0000037809,-3.312,462.79,42033107,39540408
2026-07-31T19:17:08Z,xyz,xyz:ORCL,0.0000111955,9.807,129.64,29676034,13793932
2026-07-31T19:17:08Z,xyz,xyz:GOOGL,0.0000212660,18.629,354.88,117442326,60822423
2026-07-31T19:17:08Z,xyz,xyz:AMZN,0.0000062500,5.475,271.3,19753944,82198501
2026-07-31T19:17:08Z,xyz,xyz:AMD,0.0000062500,5.475,485.49,7721922,40330728
2026-07-31T19:17:08Z,xyz,xyz:MU,0.0000062500,5.475,837.29,200827707,816966478
2026-07-31T19:17:08Z,xyz,xyz:SNDK,0.0000062500,5.475,1245.0,128042070,1087991119
2026-07-31T19:17:08Z,xyz,xyz:MSTR,0.0000128416,11.249,94.199,23261873,18932972
2026-07-31T19:17:08Z,xyz,xyz:CRCL,0.0000062500,5.475,62.21,48815923,49566794
2026-07-31T19:17:08Z,xyz,xyz:NFLX,0.0000062500,5.475,71.692,6671467,3169421
2026-07-31T19:17:08Z,xyz,xyz:COST,0.0000062500,5.475,953.64,474053,280291
2026-07-31T19:17:08Z,xyz,xyz:LLY,0.0000173484,15.197,1148.9,2176810,2502770
2026-07-31T19:17:08Z,xyz,xyz:SKHX,-0.0000768834,-67.35,1104.1,380766842,1548875492
2026-07-31T19:17:08Z,xyz,xyz:TSM,0.0000183830,16.104,405.63,7234738,6045520
2026-07-31T19:17:08Z,xyz,xyz:JPY,0.0000150929,13.221,159.07,21111984,16559643
2026-07-31T19:17:08Z,xyz,xyz:EUR,0.0000000000,0.0,1.1533,9740182,2689323
2026-07-31T19:17:08Z,xyz,xyz:SILVER,0.0000062500,5.475,57.917,90227549,96498469
2026-07-31T19:17:08Z,xyz,xyz:RIVN,0.0000062500,5.475,15.509,670510,2179723
2026-07-31T19:17:08Z,xyz,xyz:BABA,0.0000184905,16.198,121.84,8315706,5399206
2026-07-31T19:17:08Z,xyz,xyz:CL,0.0000062500,5.475,84.684,138105188,270329503
2026-07-31T19:17:08Z,xyz,xyz:COPPER,0.0000035046,3.07,6.5283,8549508,2687404
2026-07-31T19:17:08Z,xyz,xyz:NATGAS,0.0000062500,5.475,2.746,6667456,6901289
2026-07-31T19:17:08Z,xyz,xyz:SMSN,-0.0001652026,-144.717,168.61,70911106,306689716
2026-07-31T19:17:08Z,xyz,xyz:PLATINUM,0.0000062500,5.475,1657.0,3456830,2193946
2026-07-31T19:17:08Z,xyz,xyz:USAR,0.0000179682,15.74,14.89,1750165,1174269
2026-07-31T19:17:08Z,xyz,xyz:CRWV,0.0000250695,21.961,72.301,4743095,7082181
2026-07-31T19:17:08Z,xyz,xyz:URNM,0.0000248709,21.787,48.887,1003718,307526
2026-07-31T19:17:08Z,xyz,xyz:PALLADIUM,0.0000062500,5.475,1287.9,2047721,807139
2026-07-31T19:17:08Z,xyz,xyz:GME,-0.0000048031,-4.208,21.724,2121473,536906
2026-07-31T19:17:08Z,xyz,xyz:KR200,-0.0000055286,-4.843,990.3,1267278,4459301
2026-07-31T19:17:08Z,xyz,xyz:SOFTBANK,0.0001774935,155.484,32.11,254507,216232
2026-07-31T19:17:08Z,xyz,xyz:JP225,-0.0000000306,-0.027,63373.0,908271,4696583
2026-07-31T19:17:08Z,xyz,xyz:HYUNDAI,-0.0000520358,-45.583,259.07,1638011,2853576
2026-07-31T19:17:08Z,xyz,xyz:KIOXIA,-0.0006317322,-553.397,279.83,14858834,37737496
2026-07-31T19:17:08Z,xyz,xyz:EWY,0.0000066393,5.816,157.86,9052655,113324207
2026-07-31T19:17:08Z,xyz,xyz:EWJ,0.0000062500,5.475,92.646,922862,2918214
2026-07-31T19:17:08Z,xyz,xyz:BRENTOIL,0.0000062500,5.475,88.123,155747624,170722002
2026-07-31T19:17:08Z,xyz,xyz:HIMS,0.0000517690,45.35,27.674,2925803,1777683
2026-07-31T19:17:08Z,xyz,xyz:SP500,-0.0000346234,-30.33,7486.7,625141711,615521840
2026-07-31T19:17:08Z,xyz,xyz:DKNG,0.0000249895,21.891,23.569,1172979,1054813
2026-07-31T19:17:08Z,xyz,xyz:LITE,0.0000354880,31.087,726.12,6303549,3666065
2026-07-31T19:17:08Z,xyz,xyz:XLE,0.0000318352,27.888,59.446,1632847,501028
2026-07-31T19:17:08Z,xyz,xyz:BX,-0.0001066247,-93.403,128.15,2569328,1790425
2026-07-31T19:17:08Z,xyz,xyz:PURRDAT,-0.0000078005,-6.833,6.3159,6126120,2674991
2026-07-31T19:17:08Z,xyz,xyz:MRVL,0.0000220373,19.305,192.4,28853878,48043442
2026-07-31T19:17:08Z,xyz,xyz:RKLB,0.0000247828,21.71,65.315,4108388,2481182
2026-07-31T19:17:08Z,xyz,xyz:BIRD,0.0000062500,5.475,2.23,65960,228557
2026-07-31T19:17:08Z,xyz,xyz:DRAM,0.0000284833,24.951,51.072,85518940,508472017
2026-07-31T19:17:08Z,xyz,xyz:CBRS,-0.0000224608,-19.676,201.37,43831306,13735163
2026-07-31T19:17:08Z,xyz,xyz:EWZ,0.0000320140,28.044,36.684,282986,440265
2026-07-31T19:17:08Z,xyz,xyz:ZM,0.0000062500,5.475,95.994,388379,823458
2026-07-31T19:17:08Z,xyz,xyz:EBAY,0.0000138153,12.102,114.09,229125,219962
2026-07-31T19:17:08Z,xyz,xyz:ARM,0.0000111891,9.802,242.96,3267122,3777767
2026-07-31T19:17:08Z,xyz,xyz:EWT,-0.0000103686,-9.083,96.49,653971,754909
2026-07-31T19:17:08Z,xyz,xyz:GBP,0.0000000000,0.0,1.3482,61157,71354
2026-07-31T19:17:08Z,xyz,xyz:SPCX,0.0000105918,9.278,108.04,173718411,123326445
2026-07-31T19:17:08Z,xyz,xyz:ASML,0.0000062500,5.475,1647.0,1935867,1645962
2026-07-31T19:17:08Z,xyz,xyz:MINIMAX,-0.0000663221,-58.098,29.244,6209866,6227730
2026-07-31T19:17:08Z,xyz,xyz:BB,0.0000152782,13.384,8.5559,10655891,3413623
2026-07-31T19:17:08Z,xyz,xyz:QNT,0.0000320979,28.118,51.612,1184384,1631830
2026-07-31T19:17:08Z,xyz,xyz:DELL,0.0000062500,5.475,406.36,2993524,3306644
2026-07-31T19:17:08Z,xyz,xyz:IBM,0.0000062500,5.475,222.06,1719060,1227104
2026-07-31T19:17:08Z,xyz,xyz:AVGO,0.0000138729,12.153,387.96,2479631,713755
2026-07-31T19:17:08Z,xyz,xyz:NOW,0.0000160988,14.103,111.14,1355277,2010839
2026-07-31T19:17:08Z,xyz,xyz:NBIS,0.0000062500,5.475,189.71,25224604,41838791
2026-07-31T19:17:08Z,xyz,xyz:WDC,0.0000156351,13.696,551.61,1140842,3149646
2026-07-31T19:17:08Z,xyz,xyz:NOK,0.0000258750,22.666,9.1439,1890257,1615621
2026-07-31T19:17:08Z,xyz,xyz:SMH,-0.0000448401,-39.28,543.85,1618774,1892923
2026-07-31T19:17:08Z,xyz,xyz:BE,-0.0000140020,-12.266,212.37,3091874,12742116
2026-07-31T19:17:08Z,xyz,xyz:ZHIPU,-0.0003152276,-276.139,115.19,4964388,18889230
2026-07-31T19:17:08Z,xyz,xyz:QCOM,0.0000073543,6.442,149.05,3970454,1994279
2026-07-31T19:17:08Z,xyz,xyz:STRC,0.0000062500,5.475,88.95,8893506,1443641
2026-07-31T19:17:08Z,xyz,xyz:BOT,0.0000974188,85.339,25.96,3605707,1240229
2026-07-31T19:17:08Z,xyz,xyz:AMAT,0.0000062500,5.475,514.44,810612,906594
2026-07-31T19:17:08Z,xyz,xyz:GIGADEV,0.0000010954,0.96,56.29,519605,612988
2026-07-31T19:17:08Z,xyz,xyz:SHAZ,0.0000114661,10.044,46.911,2544064,1068129
2026-07-31T19:17:08Z,xyz,xyz:SKHY,-0.0000124554,-10.911,146.86,86527589,444489210
2026-07-31T19:17:08Z,xyz,xyz:CXMT,-0.0001543914,-135.247,7.5196,72742303,77371199
2026-07-31T19:17:08Z,hyna,hyna:BTC,0.0000125000,10.95,63034.0,2157684,1336247
2026-07-31T19:17:08Z,hyna,hyna:ETH,0.0000074596,6.535,1868.7,1298240,854006
2026-07-31T19:17:08Z,hyna,hyna:HYPE,0.0000125000,10.95,52.832,671376,65113
2026-07-31T19:17:08Z,hyna,hyna:SOL,0.0000125000,10.95,73.021,494679,93450
2026-07-31T19:17:08Z,hyna,hyna:ZEC,0.0000125000,10.95,458.76,65860,6682
2026-07-31T19:17:08Z,hyna,hyna:XRP,0.0000125000,10.95,1.0622,36527,333
2026-07-31T19:17:08Z,hyna,hyna:BNB,0.0000125000,10.95,588.45,18882,14885
2026-07-31T19:17:08Z,hyna,hyna:DOGE,0.0000125000,10.95,0.069795,38422,2217
2026-07-31T19:17:08Z,hyna,hyna:SUI,0.0000125000,10.95,0.68134,20128,1587
2026-07-31T19:17:08Z,hyna,hyna:PUMP,0.0000125000,10.95,0.00211,145986,12089
2026-07-31T19:17:08Z,hyna,hyna:FARTCOIN,0.0000353806,30.993,0.12183,29372,6582
2026-07-31T19:17:08Z,hyna,hyna:ENA,0.0000702726,61.559,0.080829,476143,6300
2026-07-31T19:17:08Z,hyna,hyna:LTC,0.0000125000,10.95,44.942,61580,11
2026-07-31T19:17:08Z,hyna,hyna:LINK,-0.0000443734,-38.871,8.173,27038,2940
2026-07-31T19:17:08Z,hyna,hyna:XPL,0.0000125000,10.95,0.074391,18424,0
2026-07-31T19:17:08Z,hyna,hyna:ADA,0.0000125000,10.95,0.17115,24480,0
2026-07-31T19:17:08Z,hyna,hyna:1000PEPE,0.0000125000,10.95,0.002758,42150,25452
2026-07-31T19:17:08Z,hyna,hyna:BASED,0.0000670464,58.733,0.080852,63312,4432
2026-07-31T19:17:08Z,para,para:TOTAL2,0.0000230993,20.235,880.673,208307,241
2026-07-31T19:17:08Z,para,para:OTHERS,0.0000386349,33.844,157.0156,325387,955
2026-07-31T19:17:08Z,para,para:BTCD,-0.0000114422,-10.023,58.92434,648910,28107
2026-07-31T19:17:08Z,para,para:AVGO,0.0000094484,8.277,387.76,113621,18147
2026-07-31T19:17:08Z,para,para:COHR,0.0000075000,6.57,265.77,170677,509079
2026-07-31T19:17:08Z,para,para:GLW,0.0000060147,5.269,140.1048,192313,198801
2026-07-31T19:17:08Z,para,para:CRDO,0.0000075000,6.57,210.7136,485644,1134344
2026-07-31T19:17:08Z,para,para:LRCX,0.0000075000,6.57,300.3271,210589,1228524
2026-07-31T19:17:08Z,para,para:STX,0.0000075000,6.57,860.89,434632,1829849
2026-07-31T19:17:08Z,para,para:IREN,0.0000075000,6.57,37.0576,118649,1951603
2026-07-31T19:17:08Z,para,para:TER,0.0000075000,6.57,374.93,52303,310808
2026-07-31T19:17:08Z,para,para:AAOI,0.0000075000,6.57,96.12,28392,148299
2026-07-31T19:17:08Z,mkts,mkts:US500,0.0000057078,5.0,746.82,1095321,1144813
2026-07-31T19:17:08Z,mkts,mkts:USTECH,-0.0000220320,-19.3,688.9,3345479,5334259
2026-07-31T21:17:17Z,xyz,xyz:XYZ100,0.0000062500,5.475,28164.0,216566819,530779579
2026-07-31T21:17:17Z,xyz,xyz:TSLA,0.0000104667,9.169,310.04,34354625,82780625
2026-07-31T21:17:17Z,xyz,xyz:NVDA,0.0000062500,5.475,199.95,155492205,60631288
2026-07-31T21:17:17Z,xyz,xyz:GOLD,0.0000198013,17.346,4048.9,189702112,53239316
2026-07-31T21:17:17Z,xyz,xyz:HOOD,0.0000062500,5.475,86.446,17274113,7966001
2026-07-31T21:17:17Z,xyz,xyz:INTC,0.0000062500,5.475,90.044,34566539,57839626
2026-07-31T21:17:17Z,xyz,xyz:PLTR,0.0000062500,5.475,122.82,5124749,6383826
2026-07-31T21:17:17Z,xyz,xyz:COIN,0.0000406872,35.642,146.26,11590926,19325035
2026-07-31T21:17:17Z,xyz,xyz:META,0.0000186485,16.336,555.45,62785747,35447649
2026-07-31T21:17:17Z,xyz,xyz:AAPL,0.0000062500,5.475,307.01,53349804,142922735
2026-07-31T21:17:17Z,xyz,xyz:MSFT,-0.0000324535,-28.429,462.72,41257430,39588181
2026-07-31T21:17:17Z,xyz,xyz:ORCL,0.0000108660,9.519,129.59,29878487,12649989
2026-07-31T21:17:17Z,xyz,xyz:GOOGL,0.0000062500,5.475,355.02,116099657,62980297
2026-07-31T21:17:17Z,xyz,xyz:AMZN,0.0000062500,5.475,270.98,19229994,50808266
2026-07-31T21:17:17Z,xyz,xyz:AMD,0.0000062500,5.475,478.28,7669464,41469861
2026-07-31T21:17:17Z,xyz,xyz:MU,0.0000062500,5.475,820.19,169521953,793073760
2026-07-31T21:17:17Z,xyz,xyz:SNDK,0.0000152139,13.327,1215.8,118674681,1038569352
2026-07-31T21:17:17Z,xyz,xyz:MSTR,0.0000462713,40.534,93.044,23047366,18334144
2026-07-31T21:17:17Z,xyz,xyz:CRCL,0.0000062500,5.475,61.886,47410701,48630915
2026-07-31T21:17:17Z,xyz,xyz:NFLX,0.0000012886,1.129,71.639,6639109,3080791
2026-07-31T21:17:17Z,xyz,xyz:COST,-0.0000191815,-16.803,951.7,468558,262483
2026-07-31T21:17:17Z,xyz,xyz:LLY,0.0000062500,5.475,1148.0,2196819,2217599
2026-07-31T21:17:17Z,xyz,xyz:SKHX,-0.0000814976,-71.392,1084.5,369308861,1533853236
2026-07-31T21:17:17Z,xyz,xyz:TSM,0.0000062500,5.475,404.58,7128829,5938647
2026-07-31T21:17:17Z,xyz,xyz:JPY,0.0001752269,153.499,158.14,21953561,16860996
2026-07-31T21:17:17Z,xyz,xyz:EUR,0.0000000000,0.0,1.1529,9754209,2618440
2026-07-31T21:17:17Z,xyz,xyz:SILVER,0.0000354444,31.049,57.743,89859988,95211380
2026-07-31T21:17:17Z,xyz,xyz:RIVN,0.0000062500,5.475,15.401,679033,1682964
2026-07-31T21:17:17Z,xyz,xyz:BABA,0.0000280228,24.548,122.03,8091957,5629762
2026-07-31T21:17:17Z,xyz,xyz:CL,-0.0001504378,-131.784,86.58,142631882,299999919
2026-07-31T21:17:17Z,xyz,xyz:COPPER,0.0000433290,37.956,6.515,8518391,2132004
2026-07-31T21:17:17Z,xyz,xyz:NATGAS,-0.0001297719,-113.68,2.7846,6659756,7118554
2026-07-31T21:17:17Z,xyz,xyz:SMSN,-0.0000722977,-63.333,164.94,67993194,308701288
2026-07-31T21:17:17Z,xyz,xyz:PLATINUM,-0.0000483300,-42.337,1643.4,3397846,2232784
2026-07-31T21:17:17Z,xyz,xyz:USAR,-0.0000053424,-4.68,14.924,1764673,964958
